iter	Passed	Remaining
0	55	55506
1	56	28372
2	57	19125
3	59	14821
4	60	11995
5	61	10108
6	61	8751
7	62	7736
8	63	6944
9	63	6314
10	64	5797
11	65	5366
12	65	5005
13	66	4705
14	67	4446
15	68	4234
16	69	4039
17	71	3876
18	71	3714
19	74	3646
20	75	3510
21	76	3387
22	77	3274
23	79	3248
24	80	3151
25	81	3059
26	82	2977
27	83	2897
28	86	2885
29	87	2814
30	87	2743
31	88	2678
32	89	2625
33	90	2568
34	91	2515
35	92	2463
36	92	2411
37	93	2362
38	93	2315
39	94	2270
40	95	2231
41	96	2194
42	97	2175
43	98	2141
44	100	2142
45	101	2108
46	102	2075
47	103	2044
48	103	2015
49	104	1989
50	105	1963
51	106	1938
52	107	1916
53	108	1895
54	109	1881
55	110	1864
56	112	1855
57	112	1834
58	115	1838
59	116	1818
60	117	1801
61	117	1782
62	118	1761
63	119	1742
64	119	1722
65	120	1703
66	121	1685
67	121	1666
68	122	1648
69	122	1631
70	123	1615
71	124	1599
72	124	1583
73	125	1569
74	126	1559
75	127	1545
76	128	1545
77	129	1531
78	130	1518
79	130	1504
80	131	1490
81	131	1477
82	132	1461
83	132	1448
84	133	1436
85	134	1424
86	134	1413
87	135	1402
88	135	1391
89	136	1380
90	137	1369
91	137	1359
92	138	1349
93	139	1340
94	139	1331
95	140	1322
96	141	1313
97	143	1316
98	143	1306
99	144	1296
100	144	1286
101	145	1276
102	145	1266
103	145	1257
104	146	1247
105	146	1238
106	147	1229
107	147	1220
108	148	1211
109	148	1203
110	149	1195
111	149	1187
112	150	1178
113	150	1170
114	151	1162
115	151	1155
116	151	1146
117	152	1139
118	153	1133
119	153	1126
120	154	1121
121	154	1113
122	155	1106
123	158	1117
124	158	1111
125	159	1104
126	159	1096
127	160	1090
128	160	1083
129	160	1077
130	161	1070
131	161	1064
132	162	1058
133	162	1052
134	163	1046
135	163	1040
136	164	1034
137	164	1028
138	165	1022
139	165	1017
140	166	1011
141	166	1007
142	169	1014
143	169	1009
144	170	1005
145	171	1001
146	171	995
147	172	990
148	172	985
149	173	980
150	173	975
151	173	970
152	174	965
153	174	960
154	175	955
155	175	950
156	176	946
157	176	941
158	177	936
159	177	932
160	177	926
161	178	922
162	178	917
163	182	930
164	183	926
165	183	922
166	185	923
167	185	919
168	186	915
169	186	911
170	187	907
171	187	902
172	188	898
173	188	894
174	188	890
175	189	886
176	189	882
177	190	878
178	190	875
179	191	871
180	191	867
181	192	863
182	192	859
183	193	856
184	193	852
185	194	849
186	194	845
187	195	842
188	195	839
189	196	837
190	196	834
191	197	831
192	198	828
193	199	830
194	200	826
195	200	823
196	201	820
197	201	817
198	202	813
199	202	810
200	203	807
201	203	804
202	204	801
203	204	798
204	205	795
205	205	792
206	205	789
207	206	786
208	206	783
209	207	780
210	207	777
211	208	774
212	208	771
213	209	768
214	209	766
215	210	765
216	211	762
217	211	759
218	212	756
219	213	756
220	213	753
221	214	750
222	214	748
223	215	745
224	215	742
225	216	739
226	216	737
227	216	734
228	217	732
229	217	729
230	218	727
231	219	724
232	219	722
233	219	719
234	220	717
235	220	714
236	221	712
237	221	710
238	222	707
239	222	705
240	223	703
241	224	702
242	224	700
243	225	698
244	227	699
245	227	697
246	228	695
247	228	693
248	229	690
249	229	688
250	229	686
251	230	683
252	230	681
253	231	679
254	231	677
255	232	674
256	232	672
257	233	670
258	233	668
259	234	666
260	234	664
261	235	662
262	235	660
263	236	657
264	236	656
265	237	654
266	237	652
267	238	651
268	238	649
269	240	651
270	241	649
271	241	647
272	242	645
273	242	643
274	243	641
275	243	639
276	244	637
277	244	635
278	245	633
279	245	631
280	246	629
281	246	627
282	247	625
283	247	623
284	247	622
285	248	620
286	248	618
287	249	616
288	249	614
289	250	612
290	250	611
291	251	609
292	252	608
293	252	607
294	254	609
295	255	607
296	255	605
297	256	603
298	256	602
299	257	600
300	257	598
301	258	596
302	258	594
303	259	593
304	259	591
305	260	589
306	260	588
307	261	586
308	261	585
309	262	583
310	262	582
311	263	581
312	264	579
313	264	578
314	265	577
315	266	576
316	267	575
317	267	574
318	269	576
319	270	575
320	271	573
321	272	572
322	272	571
323	273	570
324	273	568
325	274	567
326	275	566
327	275	564
328	276	563
329	277	562
330	277	561
331	278	560
332	279	559
333	280	558
334	281	557
335	281	557
336	282	556
337	283	555
338	284	554
339	284	552
340	285	551
341	286	550
342	286	549
343	287	548
344	288	546
345	289	546
346	289	545
347	290	544
348	291	543
349	291	542
350	292	540
351	293	540
352	294	538
353	294	537
354	296	539
355	297	537
356	297	536
357	298	535
358	298	533
359	299	532
360	300	531
361	300	530
362	301	529
363	301	527
364	302	526
365	303	525
366	303	523
367	304	522
368	304	521
369	305	520
370	306	520
371	307	519
372	308	518
373	309	517
374	310	516
375	310	515
376	311	514
377	311	513
378	312	511
379	312	510
380	313	509
381	314	508
382	315	507
383	315	506
384	316	505
385	316	504
386	317	503
387	318	501
388	318	500
389	319	500
390	320	499
391	323	501
392	324	500
393	324	499
394	325	499
395	326	498
396	327	496
397	327	495
398	328	494
399	329	493
400	329	492
401	330	491
402	330	490
403	331	489
404	332	487
405	332	486
406	333	486
407	334	485
408	335	484
409	337	485
410	338	484
411	338	483
412	339	482
413	339	481
414	340	480
415	341	478
416	341	477
417	342	476
418	342	475
419	343	474
420	343	473
421	344	471
422	345	470
423	345	469
424	346	468
425	346	467
426	348	467
427	350	467
428	352	468
429	353	468
430	354	467
431	355	466
432	357	467
433	358	466
434	358	466
435	359	464
436	359	463
437	360	462
438	360	461
439	361	460
440	362	459
441	362	458
442	364	458
443	366	458
444	367	457
445	368	457
446	368	456
447	369	455
448	370	454
449	371	454
450	372	452
451	372	451
452	372	450
453	373	449
454	373	447
455	374	446
456	374	445
457	375	444
458	376	443
459	377	442
460	378	442
461	379	441
462	381	442
463	382	441
464	382	440
465	383	439
466	384	438
467	385	437
468	385	436
469	386	436
470	387	435
471	388	434
472	389	434
473	451	500
474	451	499
475	452	498
476	453	497
477	454	496
478	455	495
479	456	494
480	457	493
481	458	492
482	460	492
483	461	492
484	462	491
485	463	490
486	464	489
487	465	488
488	466	487
489	466	485
490	467	484
491	478	494
492	479	493
493	480	492
494	481	491
495	482	490
496	483	489
497	484	488
498	485	487
499	486	486
500	487	485
501	494	490
502	495	489
503	496	488
504	497	487
505	499	487
506	500	486
507	501	485
508	502	484
509	506	486
510	507	485
511	508	484
512	509	483
513	510	483
514	511	481
515	513	481
516	515	481
517	516	480
518	517	479
519	576	532
520	577	531
521	578	530
522	580	529
523	581	528
524	583	527
525	587	529
526	588	528
527	589	527
528	590	525
529	591	524
530	595	526
531	597	525
532	598	524
533	599	523
534	602	523
535	603	522
536	603	520
537	605	519
538	606	518
539	609	518
540	610	517
541	611	516
542	625	526
543	626	524
544	627	523
545	627	522
546	628	520
547	629	519
548	630	517
549	631	516
550	631	514
551	632	513
552	633	512
553	634	510
554	635	509
555	636	507
556	636	506
557	637	504
558	640	504
559	640	503
560	645	504
561	646	504
562	647	502
563	665	514
564	667	513
565	667	512
566	668	510
567	669	509
568	675	511
569	676	510
570	677	509
571	679	508
572	681	507
573	682	506
574	683	505
575	686	505
576	688	504
577	689	503
578	689	501
579	690	500
580	691	498
581	692	497
582	697	498
583	698	497
584	702	498
585	705	498
586	707	497
587	708	496
588	711	496
589	712	495
590	728	504
591	729	502
592	732	502
593	743	508
594	744	506
595	745	505
596	747	504
597	748	503
598	749	501
599	751	501
600	752	499
601	753	497
602	753	496
603	755	495
604	756	493
605	757	492
606	758	491
607	760	490
608	761	488
609	762	487
610	763	485
611	763	484
612	764	482
613	765	481
614	766	479
615	766	477
616	767	476
617	767	474
618	768	472
619	768	471
620	769	469
621	769	467
622	771	466
623	773	465
624	775	465
625	776	463
626	777	462
627	778	461
628	779	459
629	780	458
630	781	456
631	782	455
632	783	454
633	784	453
634	786	452
635	790	452
636	791	450
637	793	449
638	793	448
639	800	450
640	801	449
641	802	447
642	805	447
643	806	445
644	806	444
645	807	442
646	809	441
647	810	440
648	811	438
649	811	437
650	812	435
651	815	435
652	826	439
653	832	440
654	835	440
655	836	438
656	837	437
657	837	435
658	838	433
659	839	432
660	840	430
661	841	429
662	842	428
663	843	426
664	843	425
665	845	424
666	847	422
667	848	421
668	850	420
669	850	419
670	851	417
671	852	416
672	853	414
673	854	413
674	855	411
675	855	410
676	856	408
677	856	406
678	857	405
679	858	403
680	859	402
681	859	400
682	863	400
683	864	399
684	865	398
685	866	396
686	867	395
687	868	393
688	870	392
689	871	391
690	873	390
691	873	388
692	875	387
693	881	388
694	882	387
695	883	385
696	883	384
697	884	382
698	885	381
699	886	380
700	887	378
701	888	377
702	891	376
703	891	375
704	892	373
705	893	371
706	893	370
707	894	368
708	894	367
709	895	365
710	895	364
711	896	362
712	896	361
713	897	359
714	898	357
715	898	356
716	899	354
717	899	353
718	900	351
719	901	350
720	902	349
721	902	347
722	903	346
723	904	344
724	905	343
725	905	341
726	906	340
727	906	338
728	907	337
729	908	335
730	908	334
731	909	332
732	909	331
733	910	329
734	911	328
735	911	327
736	912	325
737	912	324
738	913	322
739	913	321
740	914	319
741	915	318
742	915	316
743	917	315
744	917	314
745	918	312
746	919	311
747	919	309
748	920	308
749	921	307
750	922	305
751	923	304
752	923	303
753	924	301
754	925	300
755	926	298
756	927	297
757	927	296
758	928	294
759	929	293
760	930	292
761	930	290
762	932	289
763	933	288
764	933	286
765	934	285
766	934	283
767	934	282
768	935	280
769	935	279
770	936	278
771	936	276
772	937	275
773	938	273
774	938	272
775	939	271
776	940	269
777	941	268
778	942	267
779	943	266
780	945	265
781	948	264
782	948	262
783	949	261
784	949	260
785	950	258
786	951	257
787	952	256
788	953	254
789	953	253
790	954	252
791	955	250
792	956	249
793	956	248
794	957	246
795	957	245
796	959	244
797	959	242
798	960	241
799	962	240
800	962	239
801	963	237
802	963	236
803	963	235
804	964	233
805	964	232
806	965	230
807	966	229
808	967	228
809	967	226
810	968	225
811	969	224
812	969	223
813	970	221
814	971	220
815	972	219
816	973	217
817	973	216
818	974	215
819	976	214
820	977	213
821	977	211
822	978	210
823	979	209
824	980	207
825	984	207
826	984	206
827	985	204
828	987	203
829	988	202
830	991	201
831	991	200
832	992	199
833	993	197
834	994	196
835	995	195
836	995	193
837	996	192
838	997	191
839	998	190
840	999	188
841	1000	187
842	1000	186
843	1001	185
844	1002	183
845	1003	182
846	1006	181
847	1009	180
848	1009	179
849	1010	178
850	1011	177
851	1012	175
852	1013	174
853	1014	173
854	1014	172
855	1015	170
856	1025	171
857	1028	170
858	1029	168
859	1029	167
860	1030	166
861	1031	165
862	1032	163
863	1034	162
864	1036	161
865	1037	160
866	1038	159
867	1039	158
868	1040	156
869	1041	155
870	1042	154
871	1042	153
872	1043	151
873	1044	150
874	1045	149
875	1046	148
876	1047	146
877	1048	145
878	1049	144
879	1051	143
880	1052	142
881	1053	140
882	1053	139
883	1054	138
884	1055	137
885	1056	135
886	1057	134
887	1057	133
888	1058	132
889	1059	130
890	1060	129
891	1070	129
892	1076	128
893	1078	127
894	1083	127
895	1084	125
896	1084	124
897	1085	123
898	1085	121
899	1086	120
900	1089	119
901	1090	118
902	1092	117
903	1093	116
904	1094	114
905	1095	113
906	1096	112
907	1097	111
908	1099	110
909	1099	108
910	1100	107
911	1101	106
912	1102	105
913	1103	103
914	1104	102
915	1105	101
916	1106	100
917	1108	98
918	1108	97
919	1109	96
920	1109	95
921	1110	93
922	1111	92
923	1111	91
924	1112	90
925	1113	88
926	1114	87
927	1114	86
928	1115	85
929	1115	83
930	1116	82
931	1117	81
932	1118	80
933	1118	79
934	1120	77
935	1120	76
936	1123	75
937	1123	74
938	1124	73
939	1124	71
940	1125	70
941	1125	69
942	1126	68
943	1127	66
944	1127	65
945	1128	64
946	1128	63
947	1129	61
948	1129	60
949	1130	59
950	1130	58
951	1131	57
952	1131	55
953	1132	54
954	1133	53
955	1134	52
956	1135	51
957	1138	49
958	1139	48
959	1139	47
960	1140	46
961	1140	45
962	1141	43
963	1141	42
964	1142	41
965	1142	40
966	1143	39
967	1144	37
968	1145	36
969	1146	35
970	1146	34
971	1147	33
972	1148	31
973	1149	30
974	1150	29
975	1150	28
976	1151	27
977	1152	25
978	1152	24
979	1153	23
980	1154	22
981	1155	21
982	1155	19
983	1156	18
984	1157	17
985	1158	16
986	1158	15
987	1159	14
988	1160	12
989	1160	11
990	1161	10
991	1162	9
992	1163	8
993	1165	7
994	1166	5
995	1166	4
996	1167	3
997	1167	2
998	1168	1
999	1169	0
