iter	Passed	Remaining
0	0	63
1	1	56
2	1	52
3	2	48
4	2	46
5	2	45
6	3	45
7	3	44
8	4	43
9	4	43
10	5	42
11	5	42
12	6	41
13	6	40
14	7	41
15	7	40
16	8	41
17	9	41
18	9	40
19	10	40
20	10	40
21	11	39
22	11	38
23	12	38
24	12	37
25	12	36
26	13	36
27	14	36
28	14	35
29	15	35
30	15	35
31	16	34
32	16	34
33	17	33
34	17	32
35	18	32
36	18	31
37	19	31
38	19	30
39	19	29
40	20	29
41	20	28
42	21	27
43	21	27
44	22	27
45	23	27
46	23	26
47	24	26
48	24	25
49	25	25
50	25	24
51	26	24
52	26	23
53	27	23
54	27	22
55	29	22
56	29	22
57	30	22
58	31	21
59	32	21
60	33	21
61	34	21
62	35	21
63	36	20
64	37	20
65	38	19
66	38	19
67	39	18
68	40	18
69	41	17
70	41	16
71	42	16
72	42	15
73	42	15
74	43	14
75	43	13
76	44	13
77	44	12
78	45	12
79	45	11
80	46	10
81	46	10
82	47	9
83	47	9
84	48	8
85	48	7
86	48	7
87	49	6
88	49	6
89	50	5
90	50	5
91	51	4
92	52	3
93	52	3
94	53	2
95	54	2
96	54	1
97	55	1
98	55	0
99	56	0
